                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.49216,                 0.2637,                0.83641,                0.62838,                0.25774,                0.84128,                0.93697,                0.91304,                0.95009,                0.80113,                0.65016,                0.38045,                0.94383,                0.72014,                0.43406,                0.95102,             0.00023109,             0.00023109,             0.00023109
                     83,                0.48731,                 0.2608,                0.83534,                0.62413,                0.25559,                0.84014,                0.94394,                0.91258,                0.95059,                0.80359,                0.64787,                0.38454,                0.94301,                0.71846,                 0.4388,                0.94975,             0.00022009,             0.00022009,             0.00022009
                     84,                0.48486,                0.26068,                0.83603,                0.61493,                0.25291,                0.84068,                0.93559,                0.91375,                0.94893,                0.80218,                0.64388,                 0.3822,                0.94156,                0.71412,                  0.439,                 0.9493,             0.00020909,             0.00020909,             0.00020909
                     85,                0.48005,                0.25633,                0.83269,                0.61619,                0.25302,                0.83763,                0.93996,                0.91636,                0.94941,                0.80222,                 0.6406,                0.37793,                0.94199,                0.71144,                0.43708,                 0.9498,             0.00019809,             0.00019809,             0.00019809
                     86,                0.47453,                0.25379,                0.83305,                0.60739,                0.24869,                0.83758,                0.93631,                0.91624,                0.95063,                0.80325,                0.63969,                0.37618,                0.94287,                0.71269,                0.43158,                0.95231,             0.00018709,             0.00018709,             0.00018709
                     87,                0.47462,                0.25429,                0.83184,                0.60906,                0.24955,                0.83662,                0.93646,                0.92011,                0.95279,                0.80407,                0.63828,                0.37764,                0.94124,                0.71101,                0.42931,                0.95005,             0.00017609,             0.00017609,             0.00017609
                     88,                0.46274,                0.24748,                0.83045,                 0.5903,                 0.2393,                0.83513,                0.93188,                0.93084,                0.95207,                0.80449,                 0.6357,                0.38011,                 0.9402,                0.70793,                0.43726,                0.94859,             0.00016509,             0.00016509,             0.00016509
                     89,                0.46485,                0.25033,                0.83026,                0.59385,                0.24293,                0.83533,                0.94671,                0.91066,                0.95183,                0.80436,                0.63537,                0.38028,                0.93778,                0.70781,                0.43745,                0.94741,              0.0001541,              0.0001541,              0.0001541
                     90,                0.45841,                0.24501,                0.82694,                 0.5906,                0.24023,                0.83159,                 0.9362,                0.91341,                0.95131,                0.80582,                 0.6332,                 0.3824,                0.93881,                0.70592,                0.43874,                 0.9487,              0.0001541,              0.0001541,              0.0001541
                     91,                0.41943,                0.22114,                0.81616,                0.50923,                0.19148,                0.81931,                0.93108,                0.91153,                0.94981,                0.80097,                0.63418,                0.38124,                0.93923,                0.70731,                0.44749,                0.95017,              0.0001321,              0.0001321,              0.0001321
                     92,                0.41051,                0.21695,                0.81426,                0.50396,                0.18884,                0.81762,                0.93491,                0.91771,                0.95154,                0.80326,                0.63199,                0.38128,                0.94009,                0.70603,                0.44803,                 0.9499,              0.0001211,              0.0001211,              0.0001211
                     93,                0.40614,                0.21444,                0.81291,                 0.4991,                0.18569,                0.81576,                0.93592,                0.91922,                0.95113,                0.80463,                0.63033,                 0.3796,                0.94085,                 0.7027,                0.45062,                0.95015,              0.0001101,              0.0001101,              0.0001101
                     94,                0.39936,                0.21237,                0.81313,                0.49238,                0.18477,                0.81611,                0.93408,                 0.9226,                 0.9521,                0.80733,                0.62867,                0.37948,                0.94164,                0.70007,                0.44485,                0.95017,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.39549,                0.20966,                0.81076,                0.48821,                0.18244,                0.81372,                0.93456,                0.92279,                 0.9508,                0.80597,                0.62668,                0.37757,                0.94122,                0.69862,                0.44501,                0.95026,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 0.3893,                0.20678,                0.81073,                0.48135,                0.17982,                0.81351,                0.93367,                0.91895,                0.95078,                0.80417,                0.62481,                0.37791,                 0.9417,                0.69714,                0.44909,                0.95136,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.38523,                0.20602,                0.80899,                0.47457,                0.17761,                0.81194,                0.93333,                0.92332,                0.95049,                0.80493,                0.62353,                0.38062,                 0.9413,                0.69607,                0.45214,                0.95109,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.38367,                0.20326,                  0.809,                 0.4745,                0.17639,                0.81214,                0.93433,                0.92366,                0.95001,                0.80432,                0.62255,                 0.3821,                0.94204,                0.69523,                0.45845,                0.95156,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.37935,                0.20227,                0.80741,                 0.4721,                0.17644,                0.81027,                0.93752,                0.92249,                0.95013,                0.80572,                0.62138,                0.38123,                0.94234,                 0.6937,                0.46145,                0.95169,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.37628,                0.20062,                0.80713,                0.46789,                0.17474,                0.81041,                0.93675,                0.92216,                0.94978,                0.80472,                0.62052,                0.38207,                0.94264,                0.69266,                0.46353,                0.95226,             3.3108e-05,             3.3108e-05,             3.3108e-05
